iter	Accuracy	MultiClass
781	0.7022841657	0.9004729239
782	0.702253194	0.9003785569
783	0.7022996516	0.9002886663
784	0.7024235385	0.9002447493
785	0.7024699961	0.9001424579
786	0.702361595	0.9000130057
787	0.7024699961	0.8998535497
788	0.7024080527	0.8997697687
789	0.7025009679	0.899702018
790	0.7025319396	0.8996484224
791	0.7025164537	0.8995727473
792	0.7026558266	0.8994683991
793	0.7026558266	0.8994187355
794	0.7026403407	0.8992789392
795	0.7027022842	0.8991867499
796	0.7026713124	0.899113676
797	0.7026867983	0.8988565863
798	0.7026713124	0.8987928281
799	0.7027642276	0.8986601699
800	0.7028261711	0.8985432395
801	0.7027797135	0.8984630275
802	0.7028881146	0.8983123427
803	0.7029190863	0.8981828905
804	0.7029965157	0.8981220359
805	0.7030429733	0.8980718883
806	0.7029965157	0.8979028141
807	0.7029190863	0.8978327042
808	0.7029036005	0.8977734224
809	0.7028881146	0.8976867378
810	0.7029500581	0.897638284
811	0.7030584592	0.897500242
812	0.7030894309	0.8973248766
813	0.7029810298	0.8972731562
814	0.7031204026	0.8971824187
815	0.7030274874	0.8971141841
816	0.7031668602	0.8970642785
817	0.7031823461	0.8970011251
818	0.7031513744	0.8969435976
819	0.7031513744	0.8968979263
820	0.7031668602	0.8967828107
821	0.7032133178	0.8967232869
822	0.7032133178	0.8966414416
823	0.7034456059	0.8964884582
824	0.7033681765	0.896347936
825	0.7033526907	0.8963026883
826	0.7033836624	0.8962590133
827	0.7033526907	0.8962006993
828	0.7033836624	0.8960857651
829	0.70343012	0.8960093036
830	0.7034146341	0.8959384679
831	0.7034765776	0.895875375
832	0.7034920635	0.8958234127
833	0.7034146341	0.8957781649
834	0.7034610918	0.8956626258
835	0.70343012	0.8955512606
836	0.7035385211	0.8954787916
837	0.7035230352	0.8954071695
838	0.7036159504	0.8953523035
839	0.7036624081	0.8952768704
840	0.7036314363	0.8951993201
841	0.7037088657	0.8950668433
842	0.7036933798	0.8949834253
843	0.7036314363	0.8949326728
844	0.7036004646	0.894836612
845	0.7036314363	0.894767349
846	0.7036624081	0.8946476965
847	0.7036624081	0.8945889591
848	0.7036933798	0.8944737224
849	0.7037243515	0.8944278697
850	0.7038172667	0.894356671
851	0.7038792102	0.8943151132
852	0.703910182	0.8942024777
853	0.7039411537	0.8941396874
854	0.7038637244	0.8940873621
855	0.7039256678	0.8939852521
856	0.7038792102	0.8939404278
857	0.7038946961	0.8938646317
858	0.7039411537	0.8937526011
859	0.7040030972	0.8936915045
860	0.7040340689	0.8936239958
861	0.7039876113	0.8935808653
862	0.7039876113	0.8935289029
863	0.704018583	0.8934627855
864	0.704018583	0.8934197154
865	0.7040340689	0.8933012123
866	0.7041269841	0.8932031552
867	0.7040495548	0.8931341342
868	0.7040650407	0.8930750944
869	0.7040495548	0.8930059524
870	0.7041114983	0.8929373548
871	0.7041579559	0.8928702696
872	0.7041269841	0.8927860651
873	0.7041269841	0.892718375
874	0.7041269841	0.8926442122
